color,defaulthex,h,s,v
black,#000000,0::360,0::100,0::31
white,#FFFFFF,0::360,0::20,86::100
grey,#808080,"0::360,0::360,0::360,0::360","0::26,0::20,0::20,0::16","31::41,41::61,61::76,76::86"
brown,#964B00,"0::55|300::360,0::55|300::360,16::55","26::100,20::100,20::100","31::41,41::61,61::76"
red,#FF0000,"0::15|300::360,0::20|300::360,0::20|300::360","20::100,16::100,20::100","61::76,76::86,86::100"
orange,#FFA500,"20::46,20::36","16::100,20::100","76::86,86::100"
yellow,#FFFF00,"46::61,36::61","16::100,20::100","76::86,86::100"
green,#00FF00,"55::166,55::166,55::166,62::166,62::166","26::100,20::100,20::100,16::100,20::100","31::41,41::61,61::76,76::86,86::100"
blue,#0000FF,"167::267,167::267,167::267,167::267,167::267","26::100,20::100,20::100,16::100,20::100","31::41,41::61,61::76,76::86,86::100"
purple,#800080,"267::300,267::300,267::300,267::300,267::300","26::100,20::100,20::100,16::100,20::100","31::41,41::61,61::76,76::86,86::100"
