"species","patch","h","s","v","color"
"AcaBai","Crown",0.0606060606060607,0.261904761904762,0.329411764705882,"brown"
"AcaBai","Throat",0.0512820512820513,0.220338983050848,0.462745098039216,"brown"
"AcaBai","Breast",0.0533333333333333,0.233644859813084,0.419607843137255,"brown"
"AcaBai","Wing",0.0555555555555555,0.308411214953271,0.419607843137255,"brown"
"AcaBai","Back",0.0476190476190476,0.230769230769231,0.356862745098039,"grey"
"AcaBai","Belly",0.0637254901960784,0.263565891472868,0.505882352941176,"brown"
"AcaBai","Crissum",0.0648148148148148,0.295081967213115,0.47843137254902,"brown"
"AcaBai","DorTail",0.0535714285714285,0.274509803921569,0.4,"brown"
"AcaBai","Rump",0.0555555555555555,0.264705882352941,0.4,"brown"
"AcaBai","Patch10",NA,NA,NA,"NA"
"AcaBai","Patch11",NA,NA,NA,"NA"
"AcaBai","Patch12",NA,NA,NA,"NA"
"AcaBai","Patch13",NA,NA,NA,"NA"
"AcaBai","Patch14",NA,NA,NA,"NA"
"AcaBai","Patch15",NA,NA,NA,"NA"
"AcaBai","Patch16",NA,NA,NA,"NA"
"AniIgn","Crown",0.0272727272727273,0.509259259259259,0.423529411764706,"brown"
"AniIgn","Throat",0.0555555555555556,0.176470588235294,0.266666666666667,"black"
"AniIgn","Breast",0.043859649122807,0.791666666666667,0.752941176470588,"red"
"AniIgn","Wing",0.0476190476190476,0.175,0.313725490196078,"grey"
"AniIgn","Back",0.0416666666666667,0.155844155844156,0.301960784313725,"black"
"AniIgn","Belly",0.0434343434343434,0.793269230769231,0.815686274509804,"red"
"AniIgn","Crissum",0.0398009950248756,0.757062146892655,0.694117647058824,"red"
"AniIgn","DorTail",0.0333333333333334,0.28735632183908,0.341176470588235,"brown"
"AniIgn","Rump",0.598958333333333,0.395061728395062,0.635294117647059,"blue"
"AniIgn","Patch10",0.611904761904762,0.411764705882353,0.666666666666667,"blue"
"AniIgn","Patch11",0.0359712230215827,0.789772727272727,0.690196078431373,"red"
"AniIgn","Patch12",NA,NA,NA,"NA"
"AniIgn","Patch13",NA,NA,NA,"NA"
"AniIgn","Patch14",NA,NA,NA,"NA"
"AniIgn","Patch15",NA,NA,NA,"NA"
"AniIgn","Patch16",NA,NA,NA,"NA"
"AniLac","Crown",0.6875,0.0842105263157895,0.372549019607843,"grey"
"AniLac","Throat",0.091324200913242,0.772486772486772,0.741176470588235,"brown"
"AniLac","Breast",0.0945945945945946,0.783068783068783,0.741176470588235,"brown"
"AniLac","Wing",0.0249999999999999,0.212765957446808,0.368627450980392,"grey"
"AniLac","Back",0.0416666666666667,0.155339805825243,0.403921568627451,"grey"
"AniLac","Belly",0.0985267034990792,0.845794392523365,0.83921568627451,"orange"
"AniLac","Crissum",0.108108108108108,0.898058252427184,0.807843137254902,"brown"
"AniLac","DorTail",0.0333333333333333,0.21505376344086,0.364705882352941,"grey"
"AniLac","Rump",0.630081300813008,0.322834645669291,0.498039215686275,"blue"
"AniLac","Patch10",0.0666666666666666,0.101010101010101,0.388235294117647,"grey"
"AniLac","Patch11",0.766666666666667,0.0588235294117647,0.333333333333333,"grey"
"AniLac","Patch12",0.641666666666667,0.305343511450382,0.513725490196078,"blue"
"AniLac","Patch13",0.0990566037735849,0.602272727272727,0.690196078431373,"brown"
"AniLac","Patch14",NA,NA,NA,"NA"
"AniLac","Patch15",NA,NA,NA,"NA"
"AniLac","Patch16",NA,NA,NA,"NA"
"AniMel","Crown",0.634615384615385,0.25,0.407843137254902,"grey"
"AniMel","Throat",0.115271659324523,1,0.890196078431372,"yellow"
"AniMel","Breast",0.112809315866084,1,0.898039215686275,"yellow"
"AniMel","Wing",0.0434782608695652,0.23469387755102,0.384313725490196,"grey"
"AniMel","Back",0.111111111111111,0.102272727272727,0.345098039215686,"grey"
"AniMel","Belly",0.113924050632911,1,0.929411764705882,"yellow"
"AniMel","Crissum",0.114197530864198,1,0.847058823529412,"orange"
"AniMel","DorTail",0.0493827160493827,0.275510204081633,0.384313725490196,"brown"
"AniMel","Rump",0.466666666666667,0.0561797752808988,0.349019607843137,"grey"
"AniMel","Patch10",0.0952380952380952,0.147368421052632,0.372549019607843,"grey"
"AniMel","Patch11",0.0555555555555555,0.287234042553192,0.368627450980392,"brown"
"AniMel","Patch12",0.0952380952380953,0.150537634408602,0.364705882352941,"grey"
"AniMel","Patch13",0.0942982456140351,0.558823529411765,0.533333333333333,"brown"
"AniMel","Patch14",0.0392156862745098,0.274193548387097,0.243137254901961,"black"
"AniMel","Patch15",NA,NA,NA,"NA"
"AniMel","Patch16",NA,NA,NA,"NA"
"AniNot","Crown",0.103413654618474,0.869109947643979,0.749019607843137,"brown"
"AniNot","Throat",0.0740740740740741,0.310344827586207,0.227450980392157,"black"
"AniNot","Breast",0.102173913043478,1,0.901960784313726,"yellow"
"AniNot","Wing",0.0416666666666668,0.224719101123596,0.349019607843137,"grey"
"AniNot","Back",0.0949074074074074,0.51063829787234,0.552941176470588,"brown"
"AniNot","Belly",0.10562414266118,1,0.952941176470588,"yellow"
"AniNot","Crissum",0.103968253968254,1,0.823529411764706,"orange"
"AniNot","DorTail",0.0462962962962963,0.222222222222222,0.317647058823529,"grey"
"AniNot","Rump",0.0938697318007663,0.537037037037037,0.635294117647059,"brown"
"AniNot","Patch10",0.648809523809524,0.341463414634146,0.643137254901961,"blue"
"AniNot","Patch11",0.0787037037037038,0.307692307692308,0.458823529411765,"brown"
"AniNot","Patch12",0.0666666666666667,0.230769230769231,0.254901960784314,"black"
"AniNot","Patch13",NA,NA,NA,"NA"
"AniNot","Patch14",NA,NA,NA,"NA"
"AniNot","Patch15",NA,NA,NA,"NA"
"AniNot","Patch16",NA,NA,NA,"NA"
"AniSom","Crown",0.109452736318408,0.765714285714286,0.686274509803922,"brown"
"AniSom","Throat",0.12483660130719,1,1,"yellow"
"AniSom","Breast",0.117647058823529,1,1,"yellow"
"AniSom","Wing",0.125,0.0579710144927536,0.270588235294118,"black"
"AniSom","Back",0.533333333333333,0.568181818181818,0.172549019607843,"black"
"AniSom","Belly",0.120261437908497,1,1,"yellow"
"AniSom","Crissum",0.131372549019608,1,1,"yellow"
"AniSom","DorTail",0.0416666666666667,0.294736842105263,0.372549019607843,"brown"
"AniSom","Rump",0.125,0.131147540983607,0.23921568627451,"black"
"AniSom","Patch10",0.455882352941176,0.244604316546763,0.545098039215686,"green"
