"black","white","grey","brown","red","orange","yellow","green","blue","purple","k","species","sex"
0,0,1,1,0,0,0,0,0,0,2,"AcaBai","male"
1,0,1,1,1,0,0,0,1,0,5,"AniIgn","male"
0,0,1,1,0,1,0,0,1,0,4,"AniLac","male"
1,0,1,1,0,1,1,0,0,0,5,"AniMel","male"
1,0,1,1,0,1,1,0,1,0,6,"AniNot","male"
1,0,0,1,0,0,1,1,1,0,5,"AniSom","male"
0,0,1,0,0,1,1,0,0,0,3,"BanArc","male"
1,0,1,1,0,1,0,0,0,0,4,"BanAur","male"
1,0,1,1,0,0,0,0,1,0,4,"BanEdw","male"
1,0,1,1,0,0,0,0,1,0,4,"BanMel","male"
1,0,1,1,0,0,0,0,0,0,3,"BanRot","male"
1,0,1,1,0,0,0,0,1,0,4,"ButAur","male"
1,0,1,1,0,0,1,1,1,0,6,"ButExi","male"
1,0,1,1,0,1,0,0,1,0,5,"ButMon","male"
1,0,1,1,0,1,0,0,1,0,5,"ButWet","male"
1,0,0,0,1,0,0,0,0,0,2,"CalCoc","male"
0,0,0,1,0,0,0,0,0,0,1,"CamHel","male"
0,0,0,1,0,1,0,0,0,0,2,"CamPal","male"
0,0,1,1,0,0,0,0,0,0,2,"CamPar","male"
0,0,0,1,0,0,0,0,0,0,1,"CamPau","male"
0,0,1,1,0,0,0,0,0,0,2,"CamPsi","male"
1,0,1,1,0,1,0,0,0,0,4,"CatAna","male"
0,0,1,1,0,0,0,0,0,0,2,"CatDia","male"
1,0,1,1,0,0,0,0,0,0,3,"CatHom","male"
0,0,0,1,0,0,0,0,0,0,1,"CatIno","male"
0,0,0,1,0,0,0,0,0,0,1,"CerOli","male"
1,0,1,1,0,0,0,0,0,0,3,"ChaEuc","male"
0,0,1,1,0,0,0,1,1,0,4,"ChlCal","male"
1,0,1,1,0,0,1,1,1,0,6,"ChlNit","male"
0,0,1,1,0,0,0,1,0,0,3,"ChlPho","male"
0,0,1,1,0,0,0,1,0,0,3,"ChlRie","male"
1,0,1,0,0,0,0,1,0,0,3,"ChlSpi","male"
1,0,0,0,0,0,1,0,0,0,2,"ChrChr","male"
0,0,0,1,1,0,0,0,0,0,2,"ChrSal","male"
1,1,1,0,0,1,0,0,0,0,4,"CisLev","male"
0,0,1,1,0,0,1,0,0,0,3,"CneRub","male"
0,0,1,1,0,0,0,0,0,0,2,"CoeFla","male"
0,0,1,1,0,0,0,0,0,0,2,"ComBae","male"
0,0,1,1,0,0,0,0,0,0,2,"ComGar","male"
1,0,1,0,1,0,0,0,0,0,3,"ComLor","male"
1,0,1,0,0,0,0,0,1,0,3,"ConAlb","male"
0,0,1,1,0,1,0,0,0,0,3,"ConBic","male"
0,0,1,1,0,0,0,0,0,0,2,"ConCin","male"
0,0,1,1,0,0,0,0,0,0,2,"ConFer","male"
1,0,1,1,0,0,0,0,0,0,3,"ConLeu","male"
0,0,1,1,0,0,0,0,0,0,2,"ConMar","male"
0,0,1,1,0,0,0,0,0,0,2,"ConRuf","male"
1,0,1,1,0,0,0,0,0,0,3,"ConSit","male"
1,1,1,1,0,1,0,0,0,0,5,"ConSpa","male"
0,0,1,1,0,0,0,0,0,0,2,"ConSpm","male"
0,0,0,1,0,0,0,0,0,0,1,"ConTam","male"
0,0,0,1,1,0,0,0,0,0,2,"CorCuc","male"
0,0,1,1,0,1,0,0,0,0,3,"CorMel","male"
0,1,1,1,1,1,0,0,0,0,5,"CorPil","male"
1,0,1,1,0,0,0,0,0,0,3,"CreDen","male"
0,0,1,1,0,0,0,0,0,0,2,"CreVer","male"
1,0,1,0,0,0,0,0,1,0,3,"CyaCae","male"
1,1,1,1,0,0,0,0,1,0,5,"CyaCys","male"
1,0,1,1,0,0,0,0,1,0,4,"CyaLuc","male"
1,0,1,0,0,0,0,0,1,0,3,"CyaNit","male"
0,0,1,0,0,0,1,0,1,0,3,"CyiCyi","male"
1,1,1,1,0,1,0,0,0,0,5,"CypHir","male"
1,1,1,1,0,0,0,0,1,0,5,"DacAlb","male"
0,0,1,1,1,0,0,0,1,0,4,"DacBer","male"
1,0,1,0,0,0,0,1,0,0,3,"DacCay","male"
0,0,1,1,0,1,1,0,0,0,4,"DacFla","male"
1,1,1,0,0,0,0,1,0,0,4,"DacLin","male"
1,1,1,0,0,0,0,0,0,0,3,"DacNig","male"
0,0,1,1,1,0,0,1,0,0,4,"DacVen","male"
1,0,1,0,0,0,0,1,0,0,3,"DacVig","male"
1,0,1,1,0,0,0,0,1,0,4,"DelCas","male"
0,1,1,0,0,0,0,0,0,0,2,"DigAlb","male"
1,0,1,1,0,0,0,0,0,0,3,"DigBar","male"
1,0,1,1,0,0,0,0,0,0,3,"DigBru","male"
0,0,1,1,0,0,0,0,0,0,2,"DigCae","male"
1,0,1,1,0,0,0,0,0,0,3,"DigCar","male"
1,0,1,0,0,0,0,0,1,0,3,"DigCya","male"
1,0,1,0,0,0,0,0,0,0,2,"DigDui","male"
1,0,1,0,0,0,0,0,1,0,3,"DigGla","male"
1,0,1,1,0,0,0,0,0,0,3,"DigGlo","male"
1,0,1,1,0,0,0,0,0,0,3,"DigGls","male"
1,0,1,0,0,0,0,0,0,0,2,"DigHum","male"
1,0,1,1,0,0,0,0,1,0,4,"DigInd","male"
1,0,1,0,0,0,0,0,0,0,2,"DigLaf","male"
0,0,1,1,0,0,0,0,0,0,2,"DigMaj","male"
