"species","Crown_h","Crown_s","Crown_v","Crown_color","Throat_h","Throat_s","Throat_v","Throat_color","Breast_h","Breast_s","Breast_v","Breast_color","Wing_h","Wing_s","Wing_v","Wing_color","Back_h","Back_s","Back_v","Back_color","Belly_h","Belly_s","Belly_v","Belly_color","Crissum_h","Crissum_s","Crissum_v","Crissum_color","DorTail_h","DorTail_s","DorTail_v","DorTail_color","Rump_h","Rump_s","Rump_v","Rump_color","Patch10_h","Patch10_s","Patch10_v","Patch10_color","Patch11_h","Patch11_s","Patch11_v","Patch11_color","Patch12_h","Patch12_s","Patch12_v","Patch12_color","Patch13_h","Patch13_s","Patch13_v","Patch13_color","Patch14_h","Patch14_s","Patch14_v","Patch14_color","Patch15_h","Patch15_s","Patch15_v","Patch15_color","Patch16_h","Patch16_s","Patch16_v","Patch16_color"
"AcaBai","0.064516129032258","0.329787234042553","0.368627450980392","brown","0.0572916666666667","0.244274809160305","0.513725490196078","brown","0.0701754385964912","0.306451612903226","0.486274509803922","brown","0.0523809523809523","0.309734513274336","0.443137254901961","brown","0.0611111111111111","0.297029702970297","0.396078431372549","brown","0.0709219858156029","0.324137931034483","0.568627450980392","brown","0.0760233918128655","0.385135135135135","0.580392156862745","brown","0.0523809523809523","0.321100917431193","0.427450980392157","brown","0.0686274509803922","0.330097087378641","0.403921568627451","brown",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA"
"AniIgn","0.0306122448979592","0.471153846153846","0.407843137254902","brown","0.0694444444444445","0.193548387096774","0.243137254901961","black","0.0458015267175573","0.71978021978022","0.713725490196078","brown","0.0454545454545455","0.1375","0.313725490196078","grey","0.0714285714285715","0.0933333333333334","0.294117647058824","black","0.0468036529680365","0.744897959183674","0.768627450980392","red","0.0493421052631579","0.81283422459893","0.733333333333333","brown","0.0476190476190476","0.181818181818182","0.301960784313725","black","0.583333333333333","0.383561643835616","0.572549019607843","blue","0.600877192982456","0.452380952380952","0.658823529411765","blue","0.0462287104622871","0.744565217391304","0.72156862745098","brown",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA"
"AniLac","0.952380952380953","0.0686274509803922","0.4","grey","0.0901826484018265","0.760416666666667","0.752941176470588","brown","0.0928270042194093","0.806122448979592","0.768627450980392","orange","0.0277777777777778","0.235294117647059","0.4","grey","0.0396825396825397","0.1875","0.43921568627451","grey","0.0969868173258004","0.811926605504587","0.854901960784314","orange","0.103351955307263","0.856459330143541","0.819607843137255","orange","0.0333333333333334","0.255102040816327","0.384313725490196","grey","0.640350877192982","0.290076335877863","0.513725490196078","blue","0.053030303030303","0.211538461538461","0.407843137254902","grey","0.976190476190476","0.0777777777777778","0.352941176470588","grey","0.672413793103448","0.232","0.490196078431373","blue","0.0984848484848485","0.607734806629834","0.709803921568627","brown",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA"
"AniMel","0.638095238095238","0.265151515151515","0.517647058823529","blue","0.116580310880829","0.927884615384615","0.815686274509804","orange","0.11304347826087","1","0.901960784313726","yellow","0.0499999999999999","0.222222222222222","0.352941176470588","grey","0.111111111111111","0.0957446808510639","0.368627450980392","grey","0.110872675250358","1","0.913725490196078","yellow","0.114393939393939","1","0.862745098039216","yellow","0.0378787878787878","0.255813953488372","0.337254901960784","grey","0.0925925925925926","0.0947368421052631","0.372549019607843","grey","0.104166666666667","0.172043010752688","0.364705882352941","grey","0.0686274509803921","0.197674418604651","0.337254901960784","grey","0.631578947368421","0.186274509803922","0.4","grey","0.099388379204893","0.564766839378238","0.756862745098039","brown","0.0606060606060606","0.314285714285714","0.274509803921569","black",NA,NA,NA,"NA",NA,NA,NA,"NA"
"AniNot","0.100225225225225","0.804347826086956","0.72156862745098","brown","0.0769230769230769","0.366197183098592","0.27843137254902","black","0.0963541666666667","0.880733944954128","0.854901960784314","orange","0.053030303030303","0.255813953488372","0.337254901960784","grey","0.0931372549019608","0.496350364963504","0.537254901960784","brown","0.0995260663507109","1","0.827450980392157","orange","0.101010101010101","0.938388625592417","0.827450980392157","orange","0.0555555555555556","0.194805194805195","0.301960784313725","black","0.0928270042194093","0.533783783783784","0.580392156862745","brown","0.656028368794326","0.333333333333333","0.552941176470588","blue","0.0705128205128205","0.226086956521739","0.450980392156863","brown","0.0777777777777778","0.238095238095238","0.247058823529412","black",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA"
"AniSom","0.118544600938967","0.893081761006289","0.623529411764706","brown","0.111801242236025","0.738532110091743","0.854901960784314","orange","0.117737003058104","1","0.854901960784314","orange","0.543478260869565","0.359375","0.250980392156863","black","0.539855072463768","1","0.180392156862745","black","0.116379310344828","1","0.909803921568627","yellow","0.120454545454545","1","0.862745098039216","yellow","0.537037037037037","0.264705882352941","0.266666666666667","black","0.424242424242424","0.203703703703704","0.211764705882353","black","0.470833333333333","0.294117647058824","0.533333333333333","blue","0.53030303030303","0.265060240963855","0.325490196078431","blue","0.597435897435897","0.528455284552846","0.482352941176471","blue",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA"
"BanArc","0.705128205128205","0.138297872340426","0.368627450980392","grey","0.0119047619047619","0.159090909090909","0.345098039215686","grey","0.109947643979058","0.848888888888889","0.88235294117647","yellow","0.0303030303030303","0.209523809523809","0.411764705882353","brown","0.0378787878787879","0.211538461538461","0.407843137254902","grey","0.110136452241715","0.763392857142857","0.87843137254902","yellow","0.109619686800895","0.693023255813953","0.843137254901961","orange","0.987179487179487","0.131313131313131","0.388235294117647","grey","0.777777777777778","0.102272727272727","0.345098039215686","grey","0.742424242424242","0.117021276595745","0.368627450980392","grey",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA"
"BanAur","0.0909090909090909","0.34375","0.376470588235294","brown","0.0952380952380952","0.495575221238938","0.443137254901961","brown","0.107218683651805","0.796954314720812","0.772549019607843","orange","0.0572916666666667","0.310679611650485","0.403921568627451","brown","0.0986394557823129","0.494949494949495","0.388235294117647","brown","0.106589147286822","0.632352941176471","0.533333333333333","brown","0.0976190476190476","0.555555555555556","0.494117647058824","brown","0.064516129032258","0.329787234042553","0.368627450980392","brown","0.0851851851851852","0.398230088495575","0.443137254901961","brown","0.0773809523809525","0.247787610619469","0.443137254901961","brown","0.101960784313726","0.551948051948052","0.603921568627451","brown","0.121399176954733","0.805970149253731","0.788235294117647","orange",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA"
"BanEdw","0.0833333333333334","0.258823529411765","0.333333333333333","grey","0.100877192982456","0.376237623762376","0.396078431372549","brown","0.10792349726776","0.717647058823529","0.666666666666667","brown","0.0416666666666666","0.263736263736264","0.356862745098039","brown","0.105442176870748","0.515789473684211","0.372549019607843","brown","0.0984848484848485","0.496240601503759","0.52156862745098","brown","0.104651162790698","0.618705035971223","0.545098039215686","brown","0.0555555555555555","0.3","0.352941176470588","brown","0.1","0.5","0.431372549019608","brown","0.0916666666666667","0.206185567010309","0.380392156862745","grey","0.0989583333333334","0.333333333333333","0.376470588235294","brown","0.590909090909091","0.184873949579832","0.466666666666667","grey",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA"
"BanMel","0.0555555555555555","0.3","0.274509803921569","black","0.0507246376811594","0.283950617283951","0.317647058823529","brown","0.103648424543947","0.985294117647059","0.8","orange","0.0476190476190476","0.277227722772277","0.396078431372549","brown","0.053030303030303","0.285714285714286","0.301960784313725","black","0.111434108527132","0.811320754716981","0.831372549019608","orange","0.111872146118721","0.756476683937824","0.756862745098039","brown","0.0517241379310345","0.311827956989247","0.364705882352941","brown","0.439393939393939","0.11","0.392156862745098","grey","0.37037037037037","0.0789473684210527","0.447058823529412","grey",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA"
