"species","Crown_h","Crown_s","Crown_v","Crown_color","Throat_h","Throat_s","Throat_v","Throat_color","Breast_h","Breast_s","Breast_v","Breast_color","Wing_h","Wing_s","Wing_v","Wing_color","Back_h","Back_s","Back_v","Back_color","Belly_h","Belly_s","Belly_v","Belly_color","Crissum_h","Crissum_s","Crissum_v","Crissum_color","DorTail_h","DorTail_s","DorTail_v","DorTail_color","Rump_h","Rump_s","Rump_v","Rump_color","Patch10_h","Patch10_s","Patch10_v","Patch10_color","Patch11_h","Patch11_s","Patch11_v","Patch11_color","Patch12_h","Patch12_s","Patch12_v","Patch12_color","Patch13_h","Patch13_s","Patch13_v","Patch13_color","Patch14_h","Patch14_s","Patch14_v","Patch14_color","Patch15_h","Patch15_s","Patch15_v","Patch15_color","Patch16_h","Patch16_s","Patch16_v","Patch16_color"
"AcaBai","0.0606060606060607","0.261904761904762","0.329411764705882","brown","0.0512820512820513","0.220338983050848","0.462745098039216","brown","0.0533333333333333","0.233644859813084","0.419607843137255","brown","0.0555555555555555","0.308411214953271","0.419607843137255","brown","0.0476190476190476","0.230769230769231","0.356862745098039","grey","0.0637254901960784","0.263565891472868","0.505882352941176","brown","0.0648148148148148","0.295081967213115","0.47843137254902","brown","0.0535714285714285","0.274509803921569","0.4","brown","0.0555555555555555","0.264705882352941","0.4","brown",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA"
"AniIgn","0.0272727272727273","0.509259259259259","0.423529411764706","brown","0.0555555555555556","0.176470588235294","0.266666666666667","black","0.043859649122807","0.791666666666667","0.752941176470588","red","0.0476190476190476","0.175","0.313725490196078","grey","0.0416666666666667","0.155844155844156","0.301960784313725","black","0.0434343434343434","0.793269230769231","0.815686274509804","red","0.0398009950248756","0.757062146892655","0.694117647058824","red","0.0333333333333334","0.28735632183908","0.341176470588235","brown","0.598958333333333","0.395061728395062","0.635294117647059","blue","0.611904761904762","0.411764705882353","0.666666666666667","blue","0.0359712230215827","0.789772727272727","0.690196078431373","red",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA"
"AniLac","0.6875","0.0842105263157895","0.372549019607843","grey","0.091324200913242","0.772486772486772","0.741176470588235","brown","0.0945945945945946","0.783068783068783","0.741176470588235","brown","0.0249999999999999","0.212765957446808","0.368627450980392","grey","0.0416666666666667","0.155339805825243","0.403921568627451","grey","0.0985267034990792","0.845794392523365","0.83921568627451","orange","0.108108108108108","0.898058252427184","0.807843137254902","orange","0.0333333333333333","0.21505376344086","0.364705882352941","grey","0.630081300813008","0.322834645669291","0.498039215686275","blue","0.0666666666666666","0.101010101010101","0.388235294117647","grey","0.766666666666667","0.0588235294117647","0.333333333333333","grey","0.641666666666667","0.305343511450382","0.513725490196078","blue","0.0990566037735849","0.602272727272727","0.690196078431373","brown",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA"
"AniMel","0.634615384615385","0.25","0.407843137254902","grey","0.115271659324523","1","0.890196078431372","yellow","0.112809315866084","1","0.898039215686275","yellow","0.0434782608695652","0.23469387755102","0.384313725490196","grey","0.111111111111111","0.102272727272727","0.345098039215686","grey","0.113924050632911","1","0.929411764705882","yellow","0.114197530864198","1","0.847058823529412","orange","0.0493827160493827","0.275510204081633","0.384313725490196","brown","0.466666666666667","0.0561797752808988","0.349019607843137","grey","0.0952380952380952","0.147368421052632","0.372549019607843","grey","0.0555555555555555","0.287234042553192","0.368627450980392","brown","0.0952380952380953","0.150537634408602","0.364705882352941","grey","0.0942982456140351","0.558823529411765","0.533333333333333","brown","0.0392156862745098","0.274193548387097","0.243137254901961","black",NA,NA,NA,"NA",NA,NA,NA,"NA"
"AniNot","0.103413654618474","0.869109947643979","0.749019607843137","brown","0.0740740740740741","0.310344827586207","0.227450980392157","black","0.102173913043478","1","0.901960784313726","yellow","0.0416666666666668","0.224719101123596","0.349019607843137","grey","0.0949074074074074","0.51063829787234","0.552941176470588","brown","0.10562414266118","1","0.952941176470588","yellow","0.103968253968254","1","0.823529411764706","orange","0.0462962962962963","0.222222222222222","0.317647058823529","grey","0.0938697318007663","0.537037037037037","0.635294117647059","brown","0.648809523809524","0.341463414634146","0.643137254901961","blue","0.0787037037037038","0.307692307692308","0.458823529411765","brown","0.0666666666666667","0.230769230769231","0.254901960784314","black",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA"
"AniSom","0.109452736318408","0.765714285714286","0.686274509803922","brown","0.12483660130719","1","1","yellow","0.117647058823529","1","1","yellow","0.125","0.0579710144927536","0.270588235294118","black","0.533333333333333","0.568181818181818","0.172549019607843","black","0.120261437908497","1","1","yellow","0.131372549019608","1","1","yellow","0.0416666666666667","0.294736842105263","0.372549019607843","brown","0.125","0.131147540983607","0.23921568627451","black","0.455882352941176","0.244604316546763","0.545098039215686","green","0.0833333333333334","0.274509803921569","0.6","brown","0.618721461187215","0.503448275862069","0.568627450980392","blue",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA"
"BanArc","0.712121212121212","0.115789473684211","0.372549019607843","grey","0.0333333333333333","0.206185567010309","0.380392156862745","grey","0.112554112554113","1","0.905882352941176","yellow","0.0448717948717949","0.252427184466019","0.403921568627451","grey","0.895833333333333","0.0975609756097561","0.32156862745098","grey","0.112565445026178","0.799163179916318","0.937254901960784","yellow","0.109619686800895","0.696261682242991","0.83921568627451","orange","0","0.125","0.376470588235294","grey","0.907407407407407","0.102272727272727","0.345098039215686","grey","0.791666666666667","0.0888888888888889","0.352941176470588","grey",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA"
"BanAur","0.0530303030303031","0.305555555555556","0.282352941176471","black","0.0634920634920635","0.283783783783784","0.290196078431373","black","0.0996563573883161","0.894009216589862","0.850980392156863","orange","0.0459770114942529","0.263636363636364","0.431372549019608","brown","0.119565217391304","0.479166666666667","0.376470588235294","brown","0.103174603174603","0.608695652173913","0.541176470588235","brown","0.109477124183007","0.645569620253165","0.619607843137255","brown","0.0761904761904762","0.343137254901961","0.4","brown","0.119496855345912","0.535353535353535","0.388235294117647","brown","0.166666666666667","0.166666666666667","0.352941176470588","grey","0.11598440545809","0.826086956521739","0.811764705882353","orange","0.115894039735099","0.740196078431372","0.8","orange",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA"
"BanEdw","0.0520833333333334","0.235294117647059","0.266666666666667","black","0.072463768115942","0.298701298701299","0.301960784313725","black","0.105263157894737","0.795811518324607","0.749019607843137","brown","0.0434782608695652","0.247311827956989","0.364705882352941","grey","0.103448275862069","0.315217391304348","0.36078431372549","brown","0.106837606837607","0.582089552238806","0.525490196078431","brown","0.10625","0.606060606060606","0.517647058823529","brown","0.0747126436781609","0.329545454545455","0.345098039215686","brown","0.119565217391304","0.48936170212766","0.368627450980392","brown","0.1","0.168539325842697","0.349019607843137","grey","0.145833333333333","0.269662921348315","0.349019607843137","brown","0.641025641025641","0.228070175438597","0.447058823529412","blue",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA"
"BanMel","0.0648148148148148","0.272727272727273","0.258823529411765","black","0.0555555555555556","0.287671232876712","0.286274509803922","black","0.0967432950191571","0.910994764397906","0.749019607843137","brown","0.0517241379310345","0.298969072164948","0.380392156862745","brown","0.0555555555555556","0.246575342465753","0.286274509803922","black","0.111111111111111","0.797101449275362","0.811764705882353","orange","0.113425925925926","0.730964467005076","0.772549019607843","orange","0.0493827160493827","0.3","0.352941176470588","brown","0.523809523809524","0.0813953488372093","0.337254901960784","grey","0.521739130434783","0.207207207207207","0.435294117647059","blue",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA"
